Название,Компания,Уровень,Зарплата_от,Зарплата_до,Валюта,Опыт,Ссылка,Навыки
Аналитик данных,Администрация города Тулы,Junior,46000.0,54000.0,RUR,Нет опыта,https://hh.ru/vacancy/117245417,
Data analyst (Junior),DNS Технологии,Junior,81000.0,,RUR,Нет опыта,https://hh.ru/vacancy/117505775,"SQL, Python, Power BI, Git"
Аналитик данных,"БЕЛАЯ ДОЛИНА, Группа Компаний",Junior,60000.0,,RUR,Нет опыта,https://hh.ru/vacancy/114697628,
Аналитик данных,Микрокредитная Компания Небус,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116896860,"SQL, Excel"
Аналитик данных,Лоция,Other,,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/118011577,"BI, DWH, SQL"
Аналитик данных,Нильсен,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116499253,
Аналитик данных,Уралэнергосбыт,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/114818117,"Бизнес-анализ, Анализ данных, Аналитические исследования, Power BI, Деловая коммуникация, Автоматизация процессов, Работа с большим объемом информации, Сбор и анализ информации, SQL"
Стажер/аналитик данных (ВТБ Юниор),Changellenge,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117655120,
Аналитик данных,Центр технического оборудования,Middle,80000.0,100000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117775792,
Data аналитик,Московский метрополитен,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/115718169,
Аналитик данных,Клиника Будь Здоров,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/116211885,
Аналитик данных - Data Analyst (middle),Smartis,Middle,180000.0,210000.0,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117537089,"SQL, Python, JSON, MS SQL, Big Data, Clickhouse, Маркетинговые метрики"
Начинающий аналитик данных,Х5 IMPORT,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/115964758,"Анализ данных, Отчетность, Обработка больших массивов данных"
Junior Data Analyst,Осока Виталий Михайлович,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117305066,
Аналитик данных,ГНИВЦ,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117573239,
Аналитик данных FMCG продаж,BAIKALSEA Company (БАЙКАЛСИ Кампани),Senior,300000.0,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/117386821,
